,商品名,商品説明,価格,URL,画像URL,出品者
0,APPLE MacBook Pro MACBOOK PRO MUHP2J/A,"APPLE MacBook Pro MACBOOK PRO MUHP2J/A
あまり使わないので出品させて頂きます！

MacBook Pro 13インチ 2019 i5 8GB 256GB タッチバーモデル　色はスペースグレイです！

内容:本体、充電器、ケーブル　セット
充電回数36回とバッテリーも状態いいです！！

動作確認済みで問題ありません！

状態は必ず写真などで確認し納得した上でご購入ください。神経質な方はご遠慮下さい！

#即日配送
#Apple
#APPLE
#MacBookPro
#MacBook 
#マックブックプロ

CPU種類···Corei5
画面サイズ···11インチ～13インチ
OS···Mac OS
メモリ···8GB～16GB未満
SSD容量···128GB～256GB未満","75,000",https://jp.mercari.com/item/m36669314455,https://static.mercdn.net/item/detail/orig/photos/m36669314455_1.jpg?1670221788,ウッディ
1,［病み様専用］美品・使用数少ない　MacBook Pro2020 13in,"動画編集で購入しましたが、ほとんど使っておりませんでしたので出品いたします。

《動作について》
2020年モデルの最新機種ですので
動画編集等も快適に行うことができます！

《商品状態》
外観は大きな傷はありませんが、裏面（6枚目の画像）に拭いても取れない汚れ傷みたいな使用感がありますが比較的美品です。
その他大きな目立つ傷等ありません！
液晶もコーティング剥がれ等なく綺麗です！
外には持ち出しておりません。

《スペック》
CPU : Core i5
メモリ : 8GB
ストレージ :256GB
カラー：スペースグレー
最新OS Ventura
画面サイズ13型(インチ)
キーボード: JISキーボード
打ちやすく安定したシザーキーボード搭載！


《付属品》
本体、箱、充電器


こちらの商品は中古です、中古にご理解のある方のみよろしくお願いします


MacBookPro
MacBookAir
MacBook
マックブック　
Apple
アップル
2014 2015 2016 2017 2018 2019 2020","98,000",https://jp.mercari.com/item/m24217303716,https://static.mercdn.net/item/detail/orig/photos/m24217303716_1.jpg?1670594173,Bess
2,APPLE MacBook Pro MACBOOK PRO MPXU2J/A,"APPLE MacBook Pro MACBOOK PRO MPXU2J/A

BLUETOOTH有
CPUコア数: 2
CPUメーカー: INTEL
OS VERSION_PC: MACOS SIERRA
TRUE RESOLUTION: WQXGA
WIMAX: NO
color: SILVER
グラフィックアクセラレーター: チップセットに内蔵
グラフィックチップブランド: Intel
グラフィックチップモデル: IRISPLUSGRAPHICS 640
ストレージ種類: SSD
チップセットブランド: INTEL
チップセット種類: CPUに内蔵
パソコン・タイプ: ポータブルパソコン
パソコン・タイプ(新): コンパクトノート
プロセッサタイプ4: Core i5
モニタワイドタイプ: ワイド
無線通信機能: IEEE802.11a/b/g/n/ac
解像度種類(新): 2560X1600




ジャンク品です。
電源起動時画面がうっすら点灯しますが
映りません。
Apple Shopにて
モニターにつなぐと映る事は確認済みです。
音も出る事は確認出来ています。
ジャンク品のためご理解ある方のみ
ご購入お願いします。
カラー···グレー
画面サイズ···13インチ～14.5インチ
メモリ···8GB～16GB未満
SSD容量···128GB～256GB未満","24,000",https://jp.mercari.com/item/m85038374879,https://static.mercdn.net/item/detail/orig/photos/m85038374879_1.jpg?1670719550,即購入OK！Tororo
3,MacBookPro13 2019 16GB SSD256GB,"見ていただき、ありがとうございました。
新品のmacを買ったので出品します。
年末なので期間限定で安くお売りします。

MacBookPro（13-inch 2019 Two Thunderbolt 3ports）
カラー: スペースグレイ
CPU: 1.4 GHz クアッドコア Intel Core i5
画面サイズ: 13.3インチ Reginaディスプレイ
OS: Mac OS Monterey 12.4
メモリ: 16GB 2133 MHz LPDDR3
SSD容量: 256GB
重量: 1.37kg
キーボード: Touch Barあり
ポート: Thunderbolt 3 × 2

充電回数　173回
詳細は画像にて記載しています。
100％まで充電できます。

サブ機として使っておりましたので、使用機会は少ない状態です。

完璧な新品ではありませんので、経年の劣化についてはご理解ください。
新しい物を購入したので出品しましたが、処理速度や画面などの綺麗さは最新のMACBOOKproと大きく変わりません。

すり替え防止の為、nc.nrとします。","69,900",https://jp.mercari.com/item/m20602039069,https://static.mercdn.net/item/detail/orig/photos/m20602039069_1.jpg?1669002852,藤野亜美
4,2020 MacBook pro core i5 13インチ メモリ8GB,"ご覧いただきありがとうございます。
即購入可です。

値段交渉可能です。

購入後、自宅内のみで1年ほど使用しております。
初期化してお送りします。

Magic Mouse2も同時に購入いたしましたので、一緒に梱包させていただきます。(ケーブル未付属)

■画面保護フィルムを装着して使用していましたので、外装・画面は全体的にはきれいです。(箱の側面に傷あり)

■ディスプレイ、キーボード、タッチパッド等 動きに問題はありません。

■カラー
シルバー

■プロセッサ
1.4GHz　クアッドコア Intel Core i5

■メモリ
8GB 2133MHz LPDDR3

■グラフィック
Intel Iris Plus Graphics 645

■ディスプレイ
内蔵Retinaディスプレイ
13.3インチ（2560 × 1600）

■ポート
USB-C×２

■SSD
256GB

■付属品
充電器 純正アダプター、純正ケーブル＋Magic Mouse2（ケーブル未付属）

中古にご理解頂ける方にご購入をお願いします。","80,000",https://jp.mercari.com/item/m57861916407,https://static.mercdn.net/item/detail/orig/photos/m57861916407_1.jpg?1670726616,しま
5,APPLE MacBook Pro MACBOOK PRO MPXQ2J/A,"ご覧いただきありがとうございます。
即購入可です。
お値下げは気持ち程度なら可能です。

■外装・画面は全体的にはきれいです。

■動作に問題はありません。昨年バッテリー及びキーボードはapple交換プログラムで交換しています。

■カラー
スペースグレー

■プロセッサ
2.3GHz デュアルコア Intel Core i5

■メモリ
8GB 2133MHz LPDDR3

■グラフィック
Intel Iris Plus Graphics 640 1536 MB

■ディスプレイ
内蔵Retinaディスプレイ
13.3インチ（2560 × 1600）

■SSD
128GB

■付属品
充電器 純正61wアダプター、純正ケーブル

中古にご理解頂ける方にご購入をお願いします。
すり替え等防止のため、返品はご遠慮願います。","58,000",https://jp.mercari.com/item/m55035081565,https://static.mercdn.net/item/detail/orig/photos/m55035081565_1.jpg?1670561961,キリン
6,MacBook Pro 13inch 2020,"即買いOK！！！

MacBook Pro 13inch 2020

・FourThunderbolt3ports

・プロセッサ
2GHz クアッドコア IntelCore i5

・メモリ
32GB 3733 MHz CPDDR4X

・グラフィック
Intel Iris Plus Graphics 1536 MB

・ストレージ
1TB

・背面に
ONED Mainxtand MIX200/グレー(7,000円相当)
が付いてます。

・外付けキーボード＆モニター使用
→本体キーボードをほとんど使用してない

・外観＆画面はカバーをつけていたため無傷

・某勉強のために購入
挫折したために週1ペースほどの使用

※他サイトにも出品中です。
売り切れの際は、ご了承ください。","110,000",https://jp.mercari.com/item/m63012776803,https://static.mercdn.net/item/detail/orig/photos/m63012776803_1.jpg?1670680190,hoccho
7,【充放電回数0】2019 MacBookPro 13 16GB 2.4GHz,"上位モデルの2019 MacBook Proを出品します。13インチモデルです。
Apple正規にてバッテリーを含むトップケースを交換したばかりです。出品に伴う初期化作業直前の時点で、充放電回数0回の表示です。この機会にいかがでしょうか。
AppleCareプラスが先日切れたばかりで、今なら延長ができるようです。11月28日現在、残り29日という表示になっております。

【仕様】
CPU： 2.4GHz クアッドコア Intel Core i5
メモリ： 16GB 2133 MHz LPDDR3
ストレージ： 256GB
色： スペースグレイ
端子：4つのThunderbolt 3ポート
キーボード配列：US

【状態】
※4,5枚目の画像に見える天板の白い斑点は、撮影時に写り込んだもので、実際の汚れではございません。
機能面では完動品です。ディスプレイの表示の乱れや焼けもありません。
外装は、トップケースは新品交換済みなので傷やキーボードのテカりはございません。ディスプレイ側は、背面（外側）の四隅や端などに小さな欠け、スレ、傷があります。また、目立ちにくいですが四角いシール跡がございます（画像参照）。
ディスプレイそのものは、2019年の新品購入時、使用開始前に保護フィルムを貼ったままですので、傷はないという認識です。フィルムはこのままお送りします。

純正の電源アダプタ＋Type-Cケーブルが付属します。新品時の箱に入れ、充電は十分にした状態でお送りします。
初期化済みです。","73,000",https://jp.mercari.com/item/m25533722841,https://static.mercdn.net/item/detail/orig/photos/m25533722841_1.jpg?1669609013,くるみ
8,Dell XPS13 9300 2020年 i7/16GB/1TB/Office,"Dell XPS 13 9300（2020年）を出品します。

2020年7月にメルカリにて中古美品（2020年3月購入とのこと）を購入。箱、付属品等完備です。MacBook Pro 16との併用でほとんど使用機会がなくなったため手放します。

未開封/未使用のOffice Home & Business 2019（Word、Excel、Outlook、PowerPoint）をおまけとしてお付けします。

購入時より海外から取り寄せた本モデル専用スキンシールを全面に貼って（掲載写真10枚目）、室内のみで丁寧に使用しました。

全体的に綺麗ですが、ポート周りに通常使用に伴うキズがあり、（私の購入当初から）パームレストに少しテカリがあるなど、若干の使用感についてはご容赦ください。

・ 即購入歓迎です。
・ 丁寧に梱包し速やかに発送いたします。

【仕様】
CPU : 第10世代 インテルCore i7-1065G7 (8MB キャッシュ, 最大 3.9 GHz まで可能)
OS : Windows 11 Pro (64ビット) 日本語
メモリー : 16GB 3733MHz LPDDR4x
ハードドライブ : 1TB M.2 PCIe NVMe SSD
ディスプレイ : 13.4インチ FHD+ (1920 x 1200) InfinityEdge 非-タッチ 非光沢 500-Nit ディスプレイ
本体カラー : プラチナシルバー＆ブラック
ワイヤレス : Killer Wi-Fi 6 AX1650 (2x2) & Bluetooth 5.0
キーボード : ブラック バックライト キーボード (日本語)
バッテリー : 4-セル バッテリー, 52 Whr (内蔵)
ACアダプター : E5 45W Type-C パワーアダプター","85,900",https://jp.mercari.com/item/m80758812747,https://static.mercdn.net/item/detail/orig/photos/m80758812747_1.jpg?1670458468,Tak M
9,MacBook Pro i5 SSD512GB メモリ16GB 新品バッテリー,"2020年のMacOS CatalinaとWindows10をインストールしたMacBook Proです。

★SSD512GBストレージ、メモリ16GBにアップグレードしているので、動作スピードも高速で、快適にお使いいただけます。

★バッテリーは新品に交換しているため、長く安心してお使いいただけます。

★CD/DVDプレイヤーついています。

★オンライン会議やリモートワークでも使えます。

他にもMacBook出品しています！
よろしければこちらもご検討ください^^
→ #macbook_home

-----------------------------------------------
プロセッサー：Intel デュアルコア Core i5
ストレージ：SSD512GB
メモリ：16GB
ディスプレイ：13インチ
グラフィック：Intel HD Graphics 4000
バッテリー：新品

Mac OS Catalina（2020年MacOS/最新バージョンにアップデート済み）
Windows 10 Pro（最新バージョンにアップデート済み）

MacOfficeソフトインストールしています。
(エクセル、ワード、パワーポイント）

＊Apple iMovie 
＊Apple GarageBand
設定してますのですぐに使えます。

学校でも仕事でもスムーズに使えます。

見た目は綺麗ですが、中古品ですので小さな傷や凹みはあります。
（B Grade）
ご了承下さい。

新品充電器付きです。

--- tags 検索用 ---
   /2018/2019           /Pro2018   ","59,600",https://jp.mercari.com/item/m91802346138,https://static.mercdn.net/item/detail/orig/photos/m91802346138_1.jpg?1668671725,Apple MacBookホーム
